datetime,stock_code,exchange_code,open,high,low,close,volume,count
2023-09-05 09:10:00,TATSTE,NSE,131.75,131.75,131.75,131.75,1,0
2023-09-05 09:15:00,TATSTE,NSE,131.75,131.8,131.4,131.4,362,1
2023-09-05 09:20:00,TATSTE,NSE,131.15,131.2,130.05,130.35,25360,2
2023-09-05 09:25:00,TATSTE,NSE,130.4,130.6,130,130.1,40168,3
2023-09-05 09:30:00,TATSTE,NSE,130.05,130.85,130,130.75,31509,4
2023-09-05 09:35:00,TATSTE,NSE,130.75,131.1,130.65,131.05,31409,5
2023-09-05 09:40:00,TATSTE,NSE,131.1,131.55,131.1,131.4,57931,6
2023-09-05 09:45:00,TATSTE,NSE,131.45,131.45,131.15,131.25,16021,7
2023-09-05 09:50:00,TATSTE,NSE,131.25,131.25,130.9,130.95,11540,8
2023-09-05 09:55:00,TATSTE,NSE,130.9,131.05,130.8,130.95,5111,9
2023-09-05 10:00:00,TATSTE,NSE,130.9,130.95,130.7,130.7,11373,10
2023-09-05 10:05:00,TATSTE,NSE,130.7,130.9,130.6,130.6,4523,11
2023-09-05 10:10:00,TATSTE,NSE,130.65,130.7,130.6,130.65,15773,12
2023-09-05 10:15:00,TATSTE,NSE,130.65,130.65,130.35,130.45,10571,13
2023-09-05 10:20:00,TATSTE,NSE,130.5,130.55,130.15,130.25,10828,14
2023-09-05 10:25:00,TATSTE,NSE,130.2,130.6,130.2,130.55,22035,15
2023-09-05 10:30:00,TATSTE,NSE,130.5,130.6,130.3,130.45,9818,16
2023-09-05 10:35:00,TATSTE,NSE,130.45,130.55,130.3,130.5,7618,17
2023-09-05 10:40:00,TATSTE,NSE,130.55,130.55,130.35,130.4,19520,18
2023-09-05 10:45:00,TATSTE,NSE,130.45,130.55,130.4,130.55,5973,19
2023-09-05 10:50:00,TATSTE,NSE,130.6,130.85,130.6,130.75,8063,20
2023-09-05 10:55:00,TATSTE,NSE,130.85,130.95,130.7,130.85,20163,21
2023-09-05 11:00:00,TATSTE,NSE,130.8,130.85,130.7,130.75,7394,22
2023-09-05 11:05:00,TATSTE,NSE,130.7,130.75,130.5,130.55,8398,23
2023-09-05 11:10:00,TATSTE,NSE,130.5,130.65,130.4,130.5,2920,24
2023-09-05 11:15:00,TATSTE,NSE,130.5,130.55,130.35,130.4,4197,25
2023-09-05 11:20:00,TATSTE,NSE,130.45,130.5,130.4,130.5,6092,26
2023-09-05 11:25:00,TATSTE,NSE,130.45,130.5,130.3,130.3,6832,27
2023-09-05 11:30:00,TATSTE,NSE,130.3,130.45,130.3,130.45,4229,28
2023-09-05 11:35:00,TATSTE,NSE,130.45,130.45,130.25,130.3,9375,29
2023-09-05 11:40:00,TATSTE,NSE,130.3,130.4,130.3,130.4,11067,30
2023-09-05 11:45:00,TATSTE,NSE,130.4,130.5,130.35,130.35,6268,31
2023-09-05 11:50:00,TATSTE,NSE,130.4,130.4,130.25,130.35,5118,32
2023-09-05 11:55:00,TATSTE,NSE,130.3,130.3,130.2,130.3,7649,33
2023-09-05 12:00:00,TATSTE,NSE,130.25,130.35,130.15,130.15,7504,34
2023-09-05 12:05:00,TATSTE,NSE,130.2,130.2,130.1,130.1,3485,35
2023-09-05 12:10:00,TATSTE,NSE,130.15,130.3,130.1,130.3,6176,36
2023-09-05 12:15:00,TATSTE,NSE,130.3,130.3,130.1,130.1,10818,37
2023-09-05 12:20:00,TATSTE,NSE,130.1,130.25,130.05,130.05,20019,38
2023-09-05 12:25:00,TATSTE,NSE,130.05,130.1,130,130.05,12420,39
2023-09-05 12:30:00,TATSTE,NSE,130.1,130.1,129.9,129.95,12499,40
2023-09-05 12:35:00,TATSTE,NSE,129.9,129.95,129.4,129.45,24122,41
2023-09-05 12:40:00,TATSTE,NSE,129.45,129.65,129.15,129.15,19848,42
2023-09-05 12:45:00,TATSTE,NSE,129.15,129.2,128.9,128.95,20614,43
2023-09-05 12:50:00,TATSTE,NSE,128.95,129.8,128.95,129.8,26153,44
2023-09-05 12:55:00,TATSTE,NSE,129.8,130.3,129.8,130.3,17770,45
2023-09-05 13:00:00,TATSTE,NSE,130.25,130.4,130.05,130.3,28847,46
2023-09-05 13:05:00,TATSTE,NSE,130.25,130.25,129.9,130,20347,47
2023-09-05 13:10:00,TATSTE,NSE,130,130.25,129.95,130.2,9259,48
2023-09-05 13:15:00,TATSTE,NSE,130.2,130.6,130.15,130.6,4968,49
2023-09-05 13:20:00,TATSTE,NSE,130.65,130.65,130.35,130.6,19462,50
2023-09-05 13:25:00,TATSTE,NSE,130.55,130.65,130.2,130.25,11547,51
2023-09-05 13:30:00,TATSTE,NSE,130.25,130.4,130.2,130.3,16490,52
2023-09-05 13:35:00,TATSTE,NSE,130.3,130.55,130.3,130.45,5510,53
