datetime,stock_code,exchange_code,open,high,low,close,volume,count
2023-09-06 11:15:00,JIOFIN,NSE,252.9,253.2,251.65,252.1,27521,25
2023-09-06 11:20:00,JIOFIN,NSE,252.8,253.8,252.3,253.6,15561,26
2023-09-06 11:25:00,JIOFIN,NSE,253.65,254.05,253.3,253.55,25001,27
2023-09-06 11:30:00,JIOFIN,NSE,253.7,253.7,253,253.2,3152,28
2023-09-06 11:35:00,JIOFIN,NSE,253.25,253.35,251.75,251.75,5394,29
2023-09-06 11:40:00,JIOFIN,NSE,251.75,252.4,251.2,251.85,23284,30
2023-09-06 11:45:00,JIOFIN,NSE,251.85,252.15,251.5,251.95,8779,31
2023-09-06 11:50:00,JIOFIN,NSE,251.85,251.85,250.7,250.95,10623,32
2023-09-06 11:55:00,JIOFIN,NSE,250.9,251,250.1,250.4,25885,33
2023-09-06 12:00:00,JIOFIN,NSE,250.4,250.6,250,250.35,44861,34
2023-09-06 12:05:00,JIOFIN,NSE,250.65,250.85,250.4,250.7,15161,35
2023-09-06 12:10:00,JIOFIN,NSE,250.55,250.85,250.15,250.25,22103,36
2023-09-06 12:15:00,JIOFIN,NSE,250.3,250.65,250.1,250.55,14324,37
2023-09-06 12:20:00,JIOFIN,NSE,250.65,250.7,250,250.25,23955,38
2023-09-06 12:25:00,JIOFIN,NSE,250.15,250.8,250.15,250.55,6735,39
2023-09-06 12:30:00,JIOFIN,NSE,250.4,250.8,250.1,250.65,4180,40
2023-09-06 12:35:00,JIOFIN,NSE,250.65,250.95,250.55,250.85,12073,41
2023-09-06 12:40:00,JIOFIN,NSE,250.9,251.7,250.7,251.25,25036,42
2023-09-06 12:45:00,JIOFIN,NSE,251.35,251.35,250.6,250.9,5748,43
2023-09-06 12:50:00,JIOFIN,NSE,251,251,250.6,250.8,3629,44
2023-09-06 12:55:00,JIOFIN,NSE,250.75,250.95,250.25,250.4,4327,45
2023-09-06 13:00:00,JIOFIN,NSE,250.4,250.85,250.25,250.6,3598,46
